"Notes"	"State"	"State Code"	"Month"	"Month Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Certain infectious and parasitic diseases"	"A00-B99"	84	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Neoplasms"	"C00-D48"	643	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	131	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Mental and behavioural disorders"	"F01-F99"	143	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Diseases of the nervous system"	"G00-G98"	346	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Diseases of the circulatory system"	"I00-I99"	1164	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Diseases of the respiratory system"	"J00-J98"	418	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Diseases of the digestive system"	"K00-K92"	100	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Diseases of the genitourinary system"	"N00-N98"	108	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	53	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"External causes of morbidity and mortality"	"V01-Y89"	66	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Jan., 2016"	"2016/01"			3287	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Certain infectious and parasitic diseases"	"A00-B99"	66	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Neoplasms"	"C00-D48"	603	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	102	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Mental and behavioural disorders"	"F01-F99"	151	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Diseases of the nervous system"	"G00-G98"	314	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Diseases of the circulatory system"	"I00-I99"	1115	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Diseases of the respiratory system"	"J00-J98"	388	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Diseases of the digestive system"	"K00-K92"	105	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Diseases of the genitourinary system"	"N00-N98"	117	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	46	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"External causes of morbidity and mortality"	"V01-Y89"	75	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Feb., 2016"	"2016/02"			3106	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Certain infectious and parasitic diseases"	"A00-B99"	80	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Neoplasms"	"C00-D48"	603	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	118	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Mental and behavioural disorders"	"F01-F99"	152	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Diseases of the nervous system"	"G00-G98"	301	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Diseases of the circulatory system"	"I00-I99"	1112	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Diseases of the respiratory system"	"J00-J98"	441	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Diseases of the digestive system"	"K00-K92"	101	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Diseases of the genitourinary system"	"N00-N98"	98	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	49	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"External causes of morbidity and mortality"	"V01-Y89"	83	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Mar., 2016"	"2016/03"			3166	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Certain infectious and parasitic diseases"	"A00-B99"	78	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Neoplasms"	"C00-D48"	556	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	81	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Mental and behavioural disorders"	"F01-F99"	151	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Diseases of the nervous system"	"G00-G98"	305	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Diseases of the circulatory system"	"I00-I99"	1044	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Diseases of the respiratory system"	"J00-J98"	360	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Diseases of the digestive system"	"K00-K92"	91	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Diseases of the genitourinary system"	"N00-N98"	88	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	46	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"External causes of morbidity and mortality"	"V01-Y89"	67	Not Applicable	Not Applicable
