"Notes"	"State"	"State Code"	"Month"	"Month Code"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Certain infectious and parasitic diseases"	"A00-B99"	129	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Neoplasms"	"C00-D48"	930	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	194	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Mental and behavioural disorders"	"F01-F99"	154	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Diseases of the nervous system"	"G00-G98"	389	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Diseases of the circulatory system"	"I00-I99"	1504	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Diseases of the respiratory system"	"J00-J98"	502	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Diseases of the digestive system"	"K00-K92"	179	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Diseases of the genitourinary system"	"N00-N98"	132	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Certain conditions originating in the perinatal period"	"P00-P96"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	"External causes of morbidity and mortality"	"V01-Y89"	358	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Jan., 2016"	"2016/01"			4650	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Certain infectious and parasitic diseases"	"A00-B99"	123	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Neoplasms"	"C00-D48"	878	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	154	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Mental and behavioural disorders"	"F01-F99"	164	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Diseases of the nervous system"	"G00-G98"	342	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Diseases of the circulatory system"	"I00-I99"	1489	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Diseases of the respiratory system"	"J00-J98"	490	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Diseases of the digestive system"	"K00-K92"	174	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Diseases of the genitourinary system"	"N00-N98"	142	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Certain conditions originating in the perinatal period"	"P00-P96"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	82	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	"External causes of morbidity and mortality"	"V01-Y89"	323	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Feb., 2016"	"2016/02"			4428	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Certain infectious and parasitic diseases"	"A00-B99"	130	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Neoplasms"	"C00-D48"	913	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	173	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Mental and behavioural disorders"	"F01-F99"	167	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Diseases of the nervous system"	"G00-G98"	343	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Diseases of the circulatory system"	"I00-I99"	1470	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Diseases of the respiratory system"	"J00-J98"	567	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Diseases of the digestive system"	"K00-K92"	178	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Diseases of the genitourinary system"	"N00-N98"	130	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Certain conditions originating in the perinatal period"	"P00-P96"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	86	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	"External causes of morbidity and mortality"	"V01-Y89"	350	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Mar., 2016"	"2016/03"			4592	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Certain infectious and parasitic diseases"	"A00-B99"	122	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Neoplasms"	"C00-D48"	827	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	134	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Mental and behavioural disorders"	"F01-F99"	163	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Diseases of the nervous system"	"G00-G98"	344	Not Applicable	Not Applicable
