"Notes"	"State"	"State Code"	"Month"	"Month Code"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Certain infectious and parasitic diseases"	"A00-B99"	171	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Neoplasms"	"C00-D48"	979	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	207	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Mental and behavioural disorders"	"F01-F99"	217	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Diseases of the nervous system"	"G00-G98"	503	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Diseases of the circulatory system"	"I00-I99"	1842	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Diseases of the respiratory system"	"J00-J98"	869	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Diseases of the digestive system"	"K00-K92"	185	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Diseases of the genitourinary system"	"N00-N98"	150	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Certain conditions originating in the perinatal period"	"P00-P96"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	122	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"External causes of morbidity and mortality"	"V01-Y89"	383	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Jan., 2018"	"2018/01"			5701	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Certain infectious and parasitic diseases"	"A00-B99"	140	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Neoplasms"	"C00-D48"	842	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	161	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Mental and behavioural disorders"	"F01-F99"	155	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Diseases of the nervous system"	"G00-G98"	380	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Diseases of the circulatory system"	"I00-I99"	1467	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Diseases of the respiratory system"	"J00-J98"	566	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Diseases of the digestive system"	"K00-K92"	158	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Diseases of the genitourinary system"	"N00-N98"	154	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Certain conditions originating in the perinatal period"	"P00-P96"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	83	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"External causes of morbidity and mortality"	"V01-Y89"	334	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Feb., 2018"	"2018/02"			4522	Not Applicable	Not Applicable
