"Notes"	"Occurrence State"	"Occurrence State Code"	"MMWR Year"	"MMWR Year Code"	"MMWR Week"	"MMWR Week Code"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Diseases of the circulatory system"	"I00-I99"	344	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Diseases of the respiratory system"	"J00-J98"	151	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Diseases of the circulatory system"	"I00-I99"	433	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Diseases of the respiratory system"	"J00-J98"	204	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Diseases of the circulatory system"	"I00-I99"	427	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Diseases of the respiratory system"	"J00-J98"	188	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Diseases of the circulatory system"	"I00-I99"	395	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Diseases of the respiratory system"	"J00-J98"	197	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Diseases of the circulatory system"	"I00-I99"	367	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Diseases of the respiratory system"	"J00-J98"	166	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"Diseases of the circulatory system"	"I00-I99"	390	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"Diseases of the respiratory system"	"J00-J98"	152	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"Diseases of the circulatory system"	"I00-I99"	363	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"Diseases of the respiratory system"	"J00-J98"	132	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"Diseases of the circulatory system"	"I00-I99"	370	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"Diseases of the respiratory system"	"J00-J98"	128	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"Diseases of the circulatory system"	"I00-I99"	312	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"Diseases of the respiratory system"	"J00-J98"	128	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"Diseases of the circulatory system"	"I00-I99"	360	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"Diseases of the respiratory system"	"J00-J98"	119	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"Diseases of the circulatory system"	"I00-I99"	358	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"Diseases of the respiratory system"	"J00-J98"	121	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"Diseases of the circulatory system"	"I00-I99"	338	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"Diseases of the respiratory system"	"J00-J98"	115	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"Diseases of the circulatory system"	"I00-I99"	330	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"Diseases of the respiratory system"	"J00-J98"	122	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"Diseases of the circulatory system"	"I00-I99"	331	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"Diseases of the respiratory system"	"J00-J98"	111	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"Diseases of the circulatory system"	"I00-I99"	334	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"Diseases of the respiratory system"	"J00-J98"	124	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"Diseases of the circulatory system"	"I00-I99"	324	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"Diseases of the respiratory system"	"J00-J98"	134	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"Diseases of the circulatory system"	"I00-I99"	334	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"Diseases of the respiratory system"	"J00-J98"	117	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 18 ending May 05, 2018"	"2018/18"	"Diseases of the circulatory system"	"I00-I99"	341	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 18 ending May 05, 2018"	"2018/18"	"Diseases of the respiratory system"	"J00-J98"	132	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 19 ending May 12, 2018"	"2018/19"	"Diseases of the circulatory system"	"I00-I99"	315	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 19 ending May 12, 2018"	"2018/19"	"Diseases of the respiratory system"	"J00-J98"	114	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 20 ending May 19, 2018"	"2018/20"	"Diseases of the circulatory system"	"I00-I99"	348	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 20 ending May 19, 2018"	"2018/20"	"Diseases of the respiratory system"	"J00-J98"	116	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 21 ending May 26, 2018"	"2018/21"	"Diseases of the circulatory system"	"I00-I99"	324	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 21 ending May 26, 2018"	"2018/21"	"Diseases of the respiratory system"	"J00-J98"	98	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 22 ending June 02, 2018"	"2018/22"	"Diseases of the circulatory system"	"I00-I99"	319	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 22 ending June 02, 2018"	"2018/22"	"Diseases of the respiratory system"	"J00-J98"	100	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 23 ending June 09, 2018"	"2018/23"	"Diseases of the circulatory system"	"I00-I99"	333	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 23 ending June 09, 2018"	"2018/23"	"Diseases of the respiratory system"	"J00-J98"	100	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 24 ending June 16, 2018"	"2018/24"	"Diseases of the circulatory system"	"I00-I99"	316	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 24 ending June 16, 2018"	"2018/24"	"Diseases of the respiratory system"	"J00-J98"	89	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 25 ending June 23, 2018"	"2018/25"	"Diseases of the circulatory system"	"I00-I99"	335	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 25 ending June 23, 2018"	"2018/25"	"Diseases of the respiratory system"	"J00-J98"	95	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 26 ending June 30, 2018"	"2018/26"	"Diseases of the circulatory system"	"I00-I99"	291	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 26 ending June 30, 2018"	"2018/26"	"Diseases of the respiratory system"	"J00-J98"	114	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 27 ending July 07, 2018"	"2018/27"	"Diseases of the circulatory system"	"I00-I99"	299	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 27 ending July 07, 2018"	"2018/27"	"Diseases of the respiratory system"	"J00-J98"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 28 ending July 14, 2018"	"2018/28"	"Diseases of the circulatory system"	"I00-I99"	324	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 28 ending July 14, 2018"	"2018/28"	"Diseases of the respiratory system"	"J00-J98"	102	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 29 ending July 21, 2018"	"2018/29"	"Diseases of the circulatory system"	"I00-I99"	329	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 29 ending July 21, 2018"	"2018/29"	"Diseases of the respiratory system"	"J00-J98"	92	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 30 ending July 28, 2018"	"2018/30"	"Diseases of the circulatory system"	"I00-I99"	301	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 30 ending July 28, 2018"	"2018/30"	"Diseases of the respiratory system"	"J00-J98"	95	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 31 ending August 04, 2018"	"2018/31"	"Diseases of the circulatory system"	"I00-I99"	309	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 31 ending August 04, 2018"	"2018/31"	"Diseases of the respiratory system"	"J00-J98"	89	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 32 ending August 11, 2018"	"2018/32"	"Diseases of the circulatory system"	"I00-I99"	320	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 32 ending August 11, 2018"	"2018/32"	"Diseases of the respiratory system"	"J00-J98"	93	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 33 ending August 18, 2018"	"2018/33"	"Diseases of the circulatory system"	"I00-I99"	299	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 33 ending August 18, 2018"	"2018/33"	"Diseases of the respiratory system"	"J00-J98"	115	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 34 ending August 25, 2018"	"2018/34"	"Diseases of the circulatory system"	"I00-I99"	299	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 34 ending August 25, 2018"	"2018/34"	"Diseases of the respiratory system"	"J00-J98"	100	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 35 ending September 01, 2018"	"2018/35"	"Diseases of the circulatory system"	"I00-I99"	302	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 35 ending September 01, 2018"	"2018/35"	"Diseases of the respiratory system"	"J00-J98"	93	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 36 ending September 08, 2018"	"2018/36"	"Diseases of the circulatory system"	"I00-I99"	321	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 36 ending September 08, 2018"	"2018/36"	"Diseases of the respiratory system"	"J00-J98"	91	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 37 ending September 15, 2018"	"2018/37"	"Diseases of the circulatory system"	"I00-I99"	302	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 37 ending September 15, 2018"	"2018/37"	"Diseases of the respiratory system"	"J00-J98"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 38 ending September 22, 2018"	"2018/38"	"Diseases of the circulatory system"	"I00-I99"	298	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 38 ending September 22, 2018"	"2018/38"	"Diseases of the respiratory system"	"J00-J98"	107	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 39 ending September 29, 2018"	"2018/39"	"Diseases of the circulatory system"	"I00-I99"	312	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 39 ending September 29, 2018"	"2018/39"	"Diseases of the respiratory system"	"J00-J98"	100	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 40 ending October 06, 2018"	"2018/40"	"Diseases of the circulatory system"	"I00-I99"	311	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 40 ending October 06, 2018"	"2018/40"	"Diseases of the respiratory system"	"J00-J98"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 41 ending October 13, 2018"	"2018/41"	"Diseases of the circulatory system"	"I00-I99"	296	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 41 ending October 13, 2018"	"2018/41"	"Diseases of the respiratory system"	"J00-J98"	89	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 42 ending October 20, 2018"	"2018/42"	"Diseases of the circulatory system"	"I00-I99"	295	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 42 ending October 20, 2018"	"2018/42"	"Diseases of the respiratory system"	"J00-J98"	117	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 43 ending October 27, 2018"	"2018/43"	"Diseases of the circulatory system"	"I00-I99"	315	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 43 ending October 27, 2018"	"2018/43"	"Diseases of the respiratory system"	"J00-J98"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 44 ending November 03, 2018"	"2018/44"	"Diseases of the circulatory system"	"I00-I99"	275	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 44 ending November 03, 2018"	"2018/44"	"Diseases of the respiratory system"	"J00-J98"	91	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 45 ending November 10, 2018"	"2018/45"	"Diseases of the circulatory system"	"I00-I99"	333	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 45 ending November 10, 2018"	"2018/45"	"Diseases of the respiratory system"	"J00-J98"	106	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 46 ending November 17, 2018"	"2018/46"	"Diseases of the circulatory system"	"I00-I99"	356	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 46 ending November 17, 2018"	"2018/46"	"Diseases of the respiratory system"	"J00-J98"	90	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"2018 Week 47 ending November 24, 2018"	"2018/47"	"Diseases of the circulatory system"	"I00-I99"	332	Not Applicable	Not Applicable
