"Notes"	"Occurrence State"	"Occurrence State Code"	"MMWR Year"	"MMWR Year Code"	"MMWR Week"	"MMWR Week Code"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 01 ending January 04, 2020"	"2020/01"	"Neoplasms"	"C00-D48"	147	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 01 ending January 04, 2020"	"2020/01"	"Diseases of the circulatory system"	"I00-I99"	277	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 01 ending January 04, 2020"	"2020/01"	"Diseases of the respiratory system"	"J00-J98"	111	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 02 ending January 11, 2020"	"2020/02"	"Neoplasms"	"C00-D48"	151	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 02 ending January 11, 2020"	"2020/02"	"Diseases of the circulatory system"	"I00-I99"	289	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 02 ending January 11, 2020"	"2020/02"	"Diseases of the respiratory system"	"J00-J98"	105	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 03 ending January 18, 2020"	"2020/03"	"Neoplasms"	"C00-D48"	137	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 03 ending January 18, 2020"	"2020/03"	"Diseases of the circulatory system"	"I00-I99"	240	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 03 ending January 18, 2020"	"2020/03"	"Diseases of the respiratory system"	"J00-J98"	106	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 04 ending January 25, 2020"	"2020/04"	"Neoplasms"	"C00-D48"	132	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 04 ending January 25, 2020"	"2020/04"	"Diseases of the circulatory system"	"I00-I99"	289	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 04 ending January 25, 2020"	"2020/04"	"Diseases of the respiratory system"	"J00-J98"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 05 ending February 01, 2020"	"2020/05"	"Neoplasms"	"C00-D48"	110	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 05 ending February 01, 2020"	"2020/05"	"Diseases of the circulatory system"	"I00-I99"	262	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 05 ending February 01, 2020"	"2020/05"	"Diseases of the respiratory system"	"J00-J98"	105	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 06 ending February 08, 2020"	"2020/06"	"Neoplasms"	"C00-D48"	133	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 06 ending February 08, 2020"	"2020/06"	"Diseases of the circulatory system"	"I00-I99"	289	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 06 ending February 08, 2020"	"2020/06"	"Diseases of the respiratory system"	"J00-J98"	89	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 07 ending February 15, 2020"	"2020/07"	"Neoplasms"	"C00-D48"	134	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 07 ending February 15, 2020"	"2020/07"	"Diseases of the circulatory system"	"I00-I99"	261	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 07 ending February 15, 2020"	"2020/07"	"Diseases of the respiratory system"	"J00-J98"	113	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 08 ending February 22, 2020"	"2020/08"	"Neoplasms"	"C00-D48"	148	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 08 ending February 22, 2020"	"2020/08"	"Diseases of the circulatory system"	"I00-I99"	302	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 08 ending February 22, 2020"	"2020/08"	"Diseases of the respiratory system"	"J00-J98"	78	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 09 ending February 29, 2020"	"2020/09"	"Neoplasms"	"C00-D48"	152	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 09 ending February 29, 2020"	"2020/09"	"Diseases of the circulatory system"	"I00-I99"	291	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 09 ending February 29, 2020"	"2020/09"	"Diseases of the respiratory system"	"J00-J98"	106	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 10 ending March 07, 2020"	"2020/10"	"Neoplasms"	"C00-D48"	111	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 10 ending March 07, 2020"	"2020/10"	"Diseases of the circulatory system"	"I00-I99"	262	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 10 ending March 07, 2020"	"2020/10"	"Diseases of the respiratory system"	"J00-J98"	90	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 11 ending March 14, 2020"	"2020/11"	"Neoplasms"	"C00-D48"	142	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 11 ending March 14, 2020"	"2020/11"	"Diseases of the circulatory system"	"I00-I99"	265	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 11 ending March 14, 2020"	"2020/11"	"Diseases of the respiratory system"	"J00-J98"	106	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 12 ending March 21, 2020"	"2020/12"	"Neoplasms"	"C00-D48"	171	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 12 ending March 21, 2020"	"2020/12"	"Diseases of the circulatory system"	"I00-I99"	275	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 12 ending March 21, 2020"	"2020/12"	"Diseases of the respiratory system"	"J00-J98"	103	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 13 ending March 28, 2020"	"2020/13"	"Neoplasms"	"C00-D48"	127	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 13 ending March 28, 2020"	"2020/13"	"Diseases of the circulatory system"	"I00-I99"	250	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 13 ending March 28, 2020"	"2020/13"	"Diseases of the respiratory system"	"J00-J98"	100	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"2020 Week 14 ending April 04, 2020"	"2020/14"	"Neoplasms"	"C00-D48"	147	Not Applicable	Not Applicable
