"Notes"	"Occurrence State"	"Occurrence State Code"	"MMWR Year"	"MMWR Year Code"	"MMWR Week"	"MMWR Week Code"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"2022 Week 01 ending January 08, 2022 (provisional)"	"2022/01"	"Neoplasms"	"C00-D48"	208	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"2022 Week 01 ending January 08, 2022 (provisional)"	"2022/01"	"Diseases of the circulatory system"	"I00-I99"	377	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"2022 Week 01 ending January 08, 2022 (provisional)"	"2022/01"	"Diseases of the respiratory system"	"J00-J98"	135	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"2022 Week 02 ending January 15, 2022 (provisional)"	"2022/02"	"Neoplasms"	"C00-D48"	213	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"2022 Week 02 ending January 15, 2022 (provisional)"	"2022/02"	"Diseases of the circulatory system"	"I00-I99"	450	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"2022 Week 02 ending January 15, 2022 (provisional)"	"2022/02"	"Diseases of the respiratory system"	"J00-J98"	138	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"2022 Week 03 ending January 22, 2022 (provisional)"	"2022/03"	"Neoplasms"	"C00-D48"	225	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"2022 Week 03 ending January 22, 2022 (provisional)"	"2022/03"	"Diseases of the circulatory system"	"I00-I99"	429	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"2022 Week 03 ending January 22, 2022 (provisional)"	"2022/03"	"Diseases of the respiratory system"	"J00-J98"	109	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"2022 Week 04 ending January 29, 2022 (provisional)"	"2022/04"	"Neoplasms"	"C00-D48"	224	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"2022 Week 04 ending January 29, 2022 (provisional)"	"2022/04"	"Diseases of the circulatory system"	"I00-I99"	490	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"2022 Week 04 ending January 29, 2022 (provisional)"	"2022/04"	"Diseases of the respiratory system"	"J00-J98"	125	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"2022 Week 05 ending February 05, 2022 (provisional)"	"2022/05"	"Neoplasms"	"C00-D48"	234	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"2022 Week 05 ending February 05, 2022 (provisional)"	"2022/05"	"Diseases of the circulatory system"	"I00-I99"	426	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"2022 Week 05 ending February 05, 2022 (provisional)"	"2022/05"	"Diseases of the respiratory system"	"J00-J98"	120	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"2022 Week 06 ending February 12, 2022 (provisional)"	"2022/06"	"Neoplasms"	"C00-D48"	208	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional and partial)"	"2022"	"2022 Week 06 ending February 12, 2022 (provisional)"	"2022/06"	"Diseases of the circulatory system"	"I00-I99"	418	Not Applicable	Not Applicable
