"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"Label (Grouping)","Alabama!!Estimate","Alabama!!Estimate Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Estimate Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Estimate Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Estimate Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Estimate Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Estimate Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Estimate Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Estimate Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Estimate Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Estimate Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Estimate Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Estimate Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Estimate Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Estimate Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Estimate Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Estimate Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Estimate Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Estimate Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Estimate Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Estimate Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Estimate Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Estimate Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Estimate Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Estimate Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Estimate Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Estimate Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Estimate Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Estimate Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Estimate Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Estimate Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Estimate Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Estimate Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Estimate Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Estimate Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Estimate Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Estimate Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Estimate Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Estimate Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Estimate Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Estimate Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Estimate Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Estimate Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Estimate Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Estimate Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Estimate Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Estimate Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Estimate Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Estimate Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Estimate Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Estimate Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Estimate Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Estimate Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,174,428","±364","2,174,428","(X)","307,065","±243","307,065","(X)","2,846,738","±629","2,846,738","(X)","1,317,818","±388","1,317,818","(X)","13,682,976","±1,131","13,682,976","(X)","2,214,262","±463","2,214,262","(X)","1,488,215","±264","1,488,215","(X)","406,489","±123","406,489","(X)","296,836","±63","296,836","(X)","8,994,091","±955","8,994,091","(X)","4,091,482","±577","4,091,482","(X)","519,992","±71","519,992","(X)","668,634","±244","668,634","(X)","5,297,077","±938","5,297,077","(X)","2,797,172","±482","2,797,172","(X)","1,337,563","±361","1,337,563","(X)","1,234,037","±578","1,234,037","(X)","1,928,617","±335","1,928,617","(X)","1,967,947","±323","1,967,947","(X)","722,217","±148","722,217","(X)","2,380,605","±340","2,380,605","(X)","2,808,727","±486","2,808,727","(X)","4,531,231","±689","4,531,231","(X)","2,348,242","±475","2,348,242","(X)","1,276,441","±575","1,276,441","(X)","2,714,017","±363","2,714,017","(X)","483,006","±171","483,006","(X)","797,677","±347","797,677","(X)","1,175,070","±197","1,175,070","(X)","614,996","±180","614,996","(X)","3,554,909","±429","3,554,909","(X)","902,242","±374","902,242","(X)","8,108,211","±1,124","8,108,211","(X)","4,333,479","±1,587","4,333,479","(X)","318,099","±364","318,099","(X)","5,128,113","±797","5,128,113","(X)","1,666,205","±288","1,666,205","(X)","1,676,476","±322","1,676,476","(X)","5,568,820","±631","5,568,820","(X)","463,416","±108","463,416","(X)","2,140,337","±280","2,140,337","(X)","364,031","±713","364,031","(X)","2,815,087","±513","2,815,087","(X)","9,996,209","±964","9,996,209","(X)","981,821","±369","981,821","(X)","322,698","±118","322,698","(X)","3,368,674","±1,668","3,368,674","(X)","2,888,594","±688","2,888,594","(X)","882,213","±182","882,213","(X)","2,625,477","±440","2,625,477","(X)","262,286","±109","262,286","(X)","1,637,216","±7,325","1,637,216","(X)"
"    Occupied housing units","1,815,152","±10,938","83.5%","±0.5","254,610","±2,804","82.9%","±0.9","2,334,050","±12,895","82.0%","±0.5","1,114,902","±8,104","84.6%","±0.6","12,406,475","±16,820","90.7%","±0.1","1,960,585","±9,151","88.5%","±0.4","1,358,809","±7,109","91.3%","±0.5","328,765","±4,178","80.9%","±1.0","252,388","±3,730","85.0%","±1.3","7,035,068","±25,739","78.2%","±0.3","3,482,420","±15,694","85.1%","±0.4","445,812","±4,223","85.7%","±0.8","576,709","±5,739","86.3%","±0.9","4,752,857","±13,579","89.7%","±0.3","2,470,905","±11,185","88.3%","±0.4","1,223,439","±6,610","91.5%","±0.5","1,101,658","±6,952","89.3%","±0.6","1,684,348","±9,801","87.3%","±0.5","1,689,822","±9,615","85.9%","±0.5","545,417","±5,576","75.5%","±0.8","2,127,439","±8,728","89.4%","±0.4","2,520,419","±10,488","89.7%","±0.4","3,806,621","±12,287","84.0%","±0.3","2,091,548","±8,178","89.1%","±0.4","1,079,999","±8,323","84.6%","±0.7","2,350,628","±10,288","86.6%","±0.4","402,747","±4,175","83.4%","±0.9","719,304","±4,689","90.2%","±0.6","989,811","±6,963","84.2%","±0.6","515,431","±4,523","83.8%","±0.7","3,172,421","±11,815","89.2%","±0.3","765,183","±5,603","84.8%","±0.6","7,196,427","±16,507","88.8%","±0.2","3,670,859","±14,413","84.7%","±0.3","280,412","±3,191","88.2%","±1.0","4,525,066","±15,956","88.2%","±0.3","1,432,959","±7,544","86.0%","±0.5","1,507,137","±8,164","89.9%","±0.5","4,936,030","±14,212","88.6%","±0.3","402,295","±4,265","86.8%","±0.9","1,761,393","±10,691","82.3%","±0.5","318,955","±3,470","87.6%","±1.0","2,440,663","±12,796","86.7%","±0.5","8,738,664","±20,291","87.4%","±0.2","880,025","±4,985","89.6%","±0.5","256,922","±2,727","79.6%","±0.8","2,992,732","±14,604","88.8%","±0.4","2,606,863","±9,745","90.2%","±0.3","741,940","±5,724","84.1%","±0.7","2,279,532","±9,375","86.8%","±0.4","222,803","±3,575","84.9%","±1.4","1,319,448","±9,440","80.6%","±0.5"
"    Vacant housing units","359,276","±10,906","16.5%","±0.5","52,455","±2,826","17.1%","±0.9","512,688","±12,983","18.0%","±0.5","202,916","±8,121","15.4%","±0.6","1,276,501","±16,972","9.3%","±0.1","253,677","±9,277","11.5%","±0.4","129,406","±7,141","8.7%","±0.5","77,724","±4,193","19.1%","±1.0","44,448","±3,730","15.0%","±1.3","1,959,023","±25,736","21.8%","±0.3","609,062","±15,594","14.9%","±0.4","74,180","±4,221","14.3%","±0.8","91,925","±5,747","13.7%","±0.9","544,220","±13,706","10.3%","±0.3","326,267","±11,365","11.7%","±0.4","114,124","±6,761","8.5%","±0.5","132,379","±7,007","10.7%","±0.6","244,269","±9,881","12.7%","±0.5","278,125","±9,586","14.1%","±0.5","176,800","±5,588","24.5%","±0.8","253,166","±8,692","10.6%","±0.4","288,308","±10,381","10.3%","±0.4","724,610","±12,485","16.0%","±0.3","256,694","±8,244","10.9%","±0.4","196,442","±8,351","15.4%","±0.7","363,389","±10,284","13.4%","±0.4","80,259","±4,183","16.6%","±0.9","78,373","±4,772","9.8%","±0.6","185,259","±6,974","15.8%","±0.6","99,565","±4,537","16.2%","±0.7","382,488","±11,773","10.8%","±0.3","137,059","±5,660","15.2%","±0.6","911,784","±16,313","11.2%","±0.2","662,620","±14,806","15.3%","±0.3","37,687","±3,292","11.8%","±1.0","603,047","±16,088","11.8%","±0.3","233,246","±7,555","14.0%","±0.5","169,339","±8,193","10.1%","±0.5","632,790","±14,216","11.4%","±0.3","61,121","±4,276","13.2%","±0.9","378,944","±10,727","17.7%","±0.5","45,076","±3,527","12.4%","±1.0","374,424","±13,014","13.3%","±0.5","1,257,545","±20,394","12.6%","±0.2","101,796","±5,016","10.4%","±0.5","65,776","±2,734","20.4%","±0.8","375,942","±14,732","11.2%","±0.4","281,731","±9,799","9.8%","±0.3","140,273","±5,743","15.9%","±0.7","345,945","±9,456","13.2%","±0.4","39,483","±3,602","15.1%","±1.4","317,768","±7,777","19.4%","±0.5"
"    Homeowner vacancy rate","2.6","±0.3","(X)","(X)","1.6","±0.5","(X)","(X)","4.3","±0.4","(X)","(X)","2.7","±0.4","(X)","(X)","2.2","±0.1","(X)","(X)","2.5","±0.3","(X)","(X)","1.7","±0.3","(X)","(X)","3.4","±0.7","(X)","(X)","3.2","±0.9","(X)","(X)","4.1","±0.2","(X)","(X)","3.8","±0.3","(X)","(X)","2.2","±0.5","(X)","(X)","3.1","±0.6","(X)","(X)","2.4","±0.2","(X)","(X)","2.6","±0.2","(X)","(X)","2.1","±0.3","(X)","(X)","2.3","±0.4","(X)","(X)","2.5","±0.3","(X)","(X)","2.2","±0.3","(X)","(X)","2.9","±0.4","(X)","(X)","2.3","±0.2","(X)","(X)","1.5","±0.2","(X)","(X)","2.5","±0.2","(X)","(X)","1.9","±0.2","(X)","(X)","2.5","±0.3","(X)","(X)","2.7","±0.2","(X)","(X)","1.7","±0.4","(X)","(X)","1.7","±0.4","(X)","(X)","4.3","±0.5","(X)","(X)","1.8","±0.5","(X)","(X)","2.0","±0.2","(X)","(X)","2.2","±0.4","(X)","(X)","1.8","±0.1","(X)","(X)","3.0","±0.2","(X)","(X)","1.5","±0.5","(X)","(X)","2.4","±0.2","(X)","(X)","2.4","±0.3","(X)","(X)","2.6","±0.3","(X)","(X)","1.8","±0.2","(X)","(X)","2.3","±0.6","(X)","(X)","3.0","±0.3","(X)","(X)","2.0","±0.5","(X)","(X)","2.6","±0.3","(X)","(X)","2.2","±0.1","(X)","(X)","2.0","±0.4","(X)","(X)","1.4","±0.4","(X)","(X)","2.1","±0.2","(X)","(X)","2.6","±0.3","(X)","(X)","2.2","±0.3","(X)","(X)","2.0","±0.2","(X)","(X)","1.4","±0.5","(X)","(X)","3.4","±0.3","(X)","(X)"
"    Rental vacancy rate","9.6","±0.8","(X)","(X)","3.7","±1.0","(X)","(X)","11.1","±0.7","(X)","(X)","10.5","±1.1","(X)","(X)","5.9","±0.2","(X)","(X)","6.7","±0.6","(X)","(X)","7.1","±0.7","(X)","(X)","13.4","±2.0","(X)","(X)","9.5","±1.5","(X)","(X)","12.2","±0.5","(X)","(X)","11.7","±0.6","(X)","(X)","8.8","±1.1","(X)","(X)","7.9","±1.1","(X)","(X)","7.7","±0.4","(X)","(X)","8.8","±0.7","(X)","(X)","6.4","±0.8","(X)","(X)","7.4","±0.8","(X)","(X)","7.5","±0.7","(X)","(X)","9.0","±0.6","(X)","(X)","8.7","±1.3","(X)","(X)","7.5","±0.7","(X)","(X)","5.8","±0.5","(X)","(X)","9.6","±0.5","(X)","(X)","6.0","±0.6","(X)","(X)","12.6","±1.0","(X)","(X)","8.3","±0.5","(X)","(X)","6.8","±1.4","(X)","(X)","6.5","±1.0","(X)","(X)","10.7","±0.9","(X)","(X)","5.3","±1.3","(X)","(X)","7.5","±0.4","(X)","(X)","7.3","±1.0","(X)","(X)","5.0","±0.2","(X)","(X)","10.0","±0.5","(X)","(X)","6.4","±1.6","(X)","(X)","9.4","±0.4","(X)","(X)","8.5","±0.7","(X)","(X)","5.6","±0.7","(X)","(X)","6.5","±0.4","(X)","(X)","9.5","±1.3","(X)","(X)","13.7","±0.9","(X)","(X)","7.5","±1.6","(X)","(X)","10.3","±0.6","(X)","(X)","10.6","±0.3","(X)","(X)","6.6","±1.0","(X)","(X)","7.3","±1.5","(X)","(X)","7.0","±0.5","(X)","(X)","5.8","±0.5","(X)","(X)","9.0","±1.1","(X)","(X)","6.2","±0.5","(X)","(X)","6.4","±1.7","(X)","(X)","7.1","±0.6","(X)","(X)"
"UNITS IN STRUCTURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,174,428","±364","2,174,428","(X)","307,065","±243","307,065","(X)","2,846,738","±629","2,846,738","(X)","1,317,818","±388","1,317,818","(X)","13,682,976","±1,131","13,682,976","(X)","2,214,262","±463","2,214,262","(X)","1,488,215","±264","1,488,215","(X)","406,489","±123","406,489","(X)","296,836","±63","296,836","(X)","8,994,091","±955","8,994,091","(X)","4,091,482","±577","4,091,482","(X)","519,992","±71","519,992","(X)","668,634","±244","668,634","(X)","5,297,077","±938","5,297,077","(X)","2,797,172","±482","2,797,172","(X)","1,337,563","±361","1,337,563","(X)","1,234,037","±578","1,234,037","(X)","1,928,617","±335","1,928,617","(X)","1,967,947","±323","1,967,947","(X)","722,217","±148","722,217","(X)","2,380,605","±340","2,380,605","(X)","2,808,727","±486","2,808,727","(X)","4,531,231","±689","4,531,231","(X)","2,348,242","±475","2,348,242","(X)","1,276,441","±575","1,276,441","(X)","2,714,017","±363","2,714,017","(X)","483,006","±171","483,006","(X)","797,677","±347","797,677","(X)","1,175,070","±197","1,175,070","(X)","614,996","±180","614,996","(X)","3,554,909","±429","3,554,909","(X)","902,242","±374","902,242","(X)","8,108,211","±1,124","8,108,211","(X)","4,333,479","±1,587","4,333,479","(X)","318,099","±364","318,099","(X)","5,128,113","±797","5,128,113","(X)","1,666,205","±288","1,666,205","(X)","1,676,476","±322","1,676,476","(X)","5,568,820","±631","5,568,820","(X)","463,416","±108","463,416","(X)","2,140,337","±280","2,140,337","(X)","364,031","±713","364,031","(X)","2,815,087","±513","2,815,087","(X)","9,996,209","±964","9,996,209","(X)","981,821","±369","981,821","(X)","322,698","±118","322,698","(X)","3,368,674","±1,668","3,368,674","(X)","2,888,594","±688","2,888,594","(X)","882,213","±182","882,213","(X)","2,625,477","±440","2,625,477","(X)","262,286","±109","262,286","(X)","1,637,216","±7,325","1,637,216","(X)"
"    1-unit, detached","1,489,358","±11,105","68.5%","±0.5","194,111","±3,647","63.2%","±1.2","1,793,469","±13,776","63.0%","±0.5","915,807","±8,470","69.5%","±0.6","7,913,569","±23,514","57.8%","±0.2","1,382,607","±9,307","62.4%","±0.4","878,679","±7,561","59.0%","±0.5","238,400","±4,486","58.6%","±1.1","36,202","±2,384","12.2%","±0.8","4,854,574","±20,561","54.0%","±0.2","2,714,962","±13,566","66.4%","±0.3","281,650","±5,067","54.2%","±1.0","475,498","±5,560","71.1%","±0.8","3,088,708","±14,780","58.3%","±0.3","2,039,207","±9,714","72.9%","±0.3","986,588","±6,660","73.8%","±0.5","890,150","±7,866","72.1%","±0.6","1,293,874","±10,478","67.1%","±0.5","1,281,526","±10,654","65.1%","±0.5","504,295","±5,667","69.8%","±0.8","1,223,207","±11,047","51.4%","±0.5","1,452,631","±10,183","51.7%","±0.4","3,244,036","±11,233","71.6%","±0.2","1,571,436","±9,205","66.9%","±0.4","881,568","±9,289","69.1%","±0.7","1,891,143","±10,673","69.7%","±0.4","334,828","±4,768","69.3%","±1.0","581,824","±4,977","72.9%","±0.6","688,294","±7,044","58.6%","±0.6","389,597","±5,638","63.3%","±0.9","1,909,293","±12,139","53.7%","±0.3","582,888","±7,339","64.6%","±0.8","3,399,808","±17,210","41.9%","±0.2","2,818,382","±17,437","65.0%","±0.4","193,073","±3,642","60.7%","±1.2","3,504,965","±16,176","68.3%","±0.3","1,220,853","±7,730","73.3%","±0.5","1,066,422","±9,508","63.6%","±0.6","3,161,350","±14,945","56.8%","±0.3","252,187","±4,541","54.4%","±1.0","1,308,185","±10,421","61.1%","±0.5","248,548","±3,752","68.3%","±1.0","1,923,801","±12,733","68.3%","±0.5","6,511,316","±23,032","65.1%","±0.2","669,378","±6,351","68.2%","±0.6","212,758","±3,161","65.9%","±1.0","2,101,410","±12,365","62.4%","±0.4","1,836,125","±13,122","63.6%","±0.5","619,518","±6,647","70.2%","±0.8","1,739,691","±9,267","66.3%","±0.4","173,956","±4,047","66.3%","±1.5","1,106,163","±9,446","67.6%","±0.5"
