"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total households","1,845,169","±11,483","1,845,169","(X)","251,651","±2,883","251,651","(X)","2,392,168","±11,611","2,392,168","(X)","1,143,859","±7,351","1,143,859","(X)","12,552,658","±18,433","12,552,658","(X)","1,996,088","±8,553","1,996,088","(X)","1,357,812","±6,453","1,357,812","(X)","340,308","±3,122","340,308","(X)","266,662","±3,138","266,662","(X)","7,197,943","±25,102","7,197,943","(X)","3,532,908","±15,691","3,532,908","(X)","447,748","±4,282","447,748","(X)","583,106","±5,317","583,106","(X)","4,770,194","±13,140","4,770,194","(X)","2,480,077","±10,833","2,480,077","(X)","1,227,048","±6,132","1,227,048","(X)","1,113,911","±5,555","1,113,911","(X)","1,707,004","±8,109","1,707,004","(X)","1,719,473","±9,205","1,719,473","(X)","554,543","±4,451","554,543","(X)","2,157,717","±7,667","2,157,717","(X)","2,522,394","±9,088","2,522,394","(X)","3,819,068","±10,789","3,819,068","(X)","2,111,943","±6,274","2,111,943","(X)","1,090,521","±7,826","1,090,521","(X)","2,359,135","±11,280","2,359,135","(X)","408,938","±3,977","408,938","(X)","733,570","±4,667","733,570","(X)","1,006,605","±7,913","1,006,605","(X)","519,137","±4,650","519,137","(X)","3,198,799","±8,893","3,198,799","(X)","764,996","±5,964","764,996","(X)","7,238,922","±16,375","7,238,922","(X)","3,731,325","±14,347","3,731,325","(X)","290,944","±2,708","290,944","(X)","4,554,672","±11,606","4,554,672","(X)","1,446,667","±5,298","1,446,667","(X)","1,516,957","±7,216","1,516,957","(X)","4,958,249","±11,531","4,958,249","(X)","413,083","±3,010","413,083","(X)","1,787,340","±9,096","1,787,340","(X)","323,765","±3,111","323,765","(X)","2,480,090","±11,146","2,480,090","(X)","8,970,959","±21,541","8,970,959","(X)","895,691","±5,044","895,691","(X)","258,520","±2,853","258,520","(X)","3,038,967","±13,344","3,038,967","(X)","2,636,817","±10,074","2,636,817","(X)","741,544","±5,473","741,544","(X)","2,288,362","±8,293","2,288,362","(X)","223,513","±2,812","223,513","(X)","","","",""
"    Family households (families)","1,233,937","±11,653","66.9%","±0.5","166,400","±3,894","66.1%","±1.3","1,560,687","±15,808","65.2%","±0.5","758,601","±8,707","66.3%","±0.6","8,585,787","±27,380","68.4%","±0.2","1,278,264","±10,500","64.0%","±0.5","902,369","±9,154","66.5%","±0.6","225,593","±4,537","66.3%","±1.2","112,493","±3,951","42.2%","±1.4","4,598,222","±24,279","63.9%","±0.3","2,406,226","±16,700","68.1%","±0.4","309,165","±5,759","69.0%","±1.1","405,908","±6,386","69.6%","±0.9","3,121,020","±16,046","65.4%","±0.3","1,648,172","±14,329","66.5%","±0.5","796,744","±7,245","64.9%","±0.5","727,171","±6,574","65.3%","±0.6","1,140,771","±10,522","66.8%","±0.5","1,125,659","±9,109","65.5%","±0.4","346,950","±5,393","62.6%","±0.8","1,437,113","±10,814","66.6%","±0.4","1,598,867","±12,256","63.4%","±0.4","2,482,612","±15,037","65.0%","±0.4","1,374,436","±9,338","65.1%","±0.4","747,620","±9,723","68.6%","±0.7","1,517,231","±12,741","64.3%","±0.4","259,650","±5,083","63.5%","±1.0","474,564","±6,359","64.7%","±0.7","650,833","±9,331","64.7%","±0.8","341,718","±5,965","65.8%","±1.0","2,211,642","±11,388","69.1%","±0.3","501,421","±8,215","65.5%","±0.9","4,587,857","±19,910","63.4%","±0.2","2,472,230","±16,171","66.3%","±0.3","175,380","±3,955","60.3%","±1.3","2,913,312","±14,675","64.0%","±0.3","957,067","±7,641","66.2%","±0.5","964,892","±8,222","63.6%","±0.5","3,202,089","±14,021","64.6%","±0.3","257,419","±5,346","62.3%","±1.2","1,204,041","±11,533","67.4%","±0.6","206,668","±3,783","63.8%","±1.1","1,641,665","±13,839","66.2%","±0.5","6,239,195","±24,705","69.5%","±0.2","666,661","±6,750","74.4%","±0.6","160,878","±3,335","62.2%","±1.2","2,044,422","±13,958","67.3%","±0.4","1,687,786","±13,965","64.0%","±0.5","471,536","±7,578","63.6%","±0.9","1,461,573","±10,805","63.9%","±0.4","146,745","±3,551","65.7%","±1.5","","","",""
"        With own children under 18 years","502,537","±9,611","27.2%","±0.5","82,259","±3,610","32.7%","±1.3","674,358","±11,858","28.2%","±0.5","315,273","±6,202","27.6%","±0.5","4,046,765","±21,036","32.2%","±0.2","589,021","±8,765","29.5%","±0.4","401,316","±6,982","29.6%","±0.5","92,860","±3,592","27.3%","±1.0","46,568","±2,652","17.5%","±1.0","1,781,769","±17,091","24.8%","±0.2","1,103,278","±14,436","31.2%","±0.4","121,971","±4,226","27.2%","±0.9","184,148","±4,909","31.6%","±0.7","1,398,372","±12,002","29.3%","±0.2","719,823","±10,356","29.0%","±0.4","347,214","±6,075","28.3%","±0.5","332,812","±5,530","29.9%","±0.5","475,764","±8,318","27.9%","±0.5","491,081","±9,042","28.6%","±0.5","135,007","±4,471","24.3%","±0.7","633,449","±9,221","29.4%","±0.4","698,945","±9,977","27.7%","±0.4","1,041,802","±11,118","27.3%","±0.3","619,780","±7,935","29.3%","±0.4","322,759","±7,933","29.6%","±0.7","641,438","±10,235","27.2%","±0.4","105,017","±3,594","25.7%","±0.8","216,935","±5,126","29.6%","±0.6","298,464","±7,262","29.7%","±0.7","139,546","±4,127","26.9%","±0.8","1,009,713","±12,540","31.6%","±0.4","213,058","±5,003","27.9%","±0.6","2,015,419","±16,481","27.8%","±0.2","1,077,533","±12,775","28.9%","±0.3","74,751","±3,178","25.7%","±1.1","1,230,760","±12,684","27.0%","±0.3","416,517","±5,782","28.8%","±0.4","406,243","±7,574","26.8%","±0.5","1,285,713","±10,510","25.9%","±0.2","106,858","±3,860","25.9%","±0.9","491,485","±9,033","27.5%","±0.5","88,894","±3,090","27.5%","±0.8","681,582","±9,505","27.5%","±0.4","3,027,703","±22,956","33.8%","±0.2","345,172","±5,723","38.5%","±0.6","64,915","±2,469","25.1%","±0.9","895,668","±11,236","29.5%","±0.3","752,039","±10,084","28.5%","±0.4","175,829","±4,787","23.7%","±0.6","629,141","±7,859","27.5%","±0.3","63,649","±2,723","28.5%","±1.2","","","",""
"        Married-couple family","883,291","±10,427","47.9%","±0.5","123,248","±3,766","49.0%","±1.4","1,122,884","±13,816","46.9%","±0.5","557,982","±8,150","48.8%","±0.6","6,104,099","±26,020","48.6%","±0.2","975,070","±11,575","48.8%","±0.5","660,876","±8,668","48.7%","±0.6","163,460","±4,706","48.0%","±1.3","62,149","±3,246","23.3%","±1.2","3,319,620","±23,272","46.1%","±0.3","1,693,386","±18,424","47.9%","±0.5","229,027","±6,135","51.2%","±1.2","322,225","±6,301","55.3%","±0.9","2,289,429","±18,317","48.0%","±0.3","1,229,106","±12,872","49.6%","±0.4","625,952","±7,159","51.0%","±0.5","563,407","±6,847","50.6%","±0.6","834,642","±9,876","48.9%","±0.5","744,806","±9,635","43.3%","±0.5","270,568","±4,782","48.8%","±0.8","1,018,129","±10,525","47.2%","±0.5","1,173,287","±11,662","46.5%","±0.4","1,821,915","±13,935","47.7%","±0.3","1,079,809","±9,432","51.1%","±0.4","481,032","±9,154","44.1%","±0.8","1,124,203","±12,274","47.7%","±0.4","205,584","±4,320","50.3%","±1.0","369,338","±5,693","50.3%","±0.7","445,312","±8,943","44.2%","±0.8","269,048","±6,035","51.8%","±1.0","1,626,018","±11,830","50.8%","±0.4","347,070","±7,590","45.4%","±0.9","3,147,912","±19,199","43.5%","±0.3","1,795,932","±14,845","48.1%","±0.3","139,907","±3,852","48.1%","±1.3","2,131,425","±15,959","46.8%","±0.3","702,265","±7,412","48.5%","±0.5","729,381","±8,297","48.1%","±0.6","2,386,165","±14,111","48.1%","±0.3","180,454","±5,611","43.7%","±1.3","839,168","±10,410","47.0%","±0.6","159,567","±3,531","49.3%","±1.1","1,200,647","±14,310","48.4%","±0.5","4,492,603","±25,906","50.1%","±0.3","542,587","±6,914","60.6%","±0.7","126,519","±3,054","48.9%","±1.1","1,541,185","±14,352","50.7%","±0.4","1,301,823","±13,178","49.4%","±0.5","358,666","±7,346","48.4%","±0.9","1,126,874","±9,874","49.2%","±0.4","115,398","±4,093","51.6%","±1.7","","","",""
"            With own children under 18 years","323,513","±8,869","17.5%","±0.5","54,673","±2,715","21.7%","±1.0","429,016","±10,065","17.9%","±0.4","206,752","±5,393","18.1%","±0.5","2,787,943","±19,133","22.2%","±0.1","411,938","±7,721","20.6%","±0.4","272,625","±5,634","20.1%","±0.4","59,809","±2,692","17.6%","±0.8","23,187","±1,997","8.7%","±0.7","1,121,347","±17,724","15.6%","±0.2","715,266","±12,456","20.2%","±0.3","89,864","±3,939","20.1%","±0.8","133,177","±4,680","22.8%","±0.8","958,861","±12,327","20.1%","±0.2","477,058","±8,374","19.2%","±0.3","239,520","±5,248","19.5%","±0.4","232,015","±4,937","20.8%","±0.4","308,124","±6,936","18.1%","±0.4","280,552","±6,779","16.3%","±0.4","88,800","±3,678","16.0%","±0.6","420,489","±7,081","19.5%","±0.3","479,890","±9,368","19.0%","±0.4","682,944","±10,156","17.9%","±0.3","437,066","±7,255","20.7%","±0.3","180,872","±6,366","16.6%","±0.6","417,452","±9,233","17.7%","±0.4","73,268","±3,340","17.9%","±0.8","150,038","±4,411","20.5%","±0.6","182,637","±6,769","18.1%","±0.7","97,873","±3,885","18.9%","±0.7","720,912","±11,078","22.5%","±0.3","125,725","±4,362","16.4%","±0.5","1,307,147","±14,188","18.1%","±0.2","697,959","±10,552","18.7%","±0.3","52,133","±2,535","17.9%","±0.9","787,247","±11,523","17.3%","±0.2","272,752","±5,114","18.9%","±0.3","270,464","±7,164","17.8%","±0.5","864,021","±9,204","17.4%","±0.2","66,254","±3,613","16.0%","±0.9","298,889","±7,403","16.7%","±0.4","58,663","±2,542","18.1%","±0.7","446,140","±9,266","18.0%","±0.4","2,051,269","±19,722","22.9%","±0.2","274,021","±5,667","30.6%","±0.6","44,208","±1,943","17.1%","±0.8","632,612","±10,602","20.8%","±0.3","530,116","±8,764","20.1%","±0.3","117,691","±4,184","15.9%","±0.5","425,308","±6,848","18.6%","±0.3","43,849","±2,881","19.6%","±1.2","","","",""
"        Male householder, no wife present, family","73,078","±4,173","4.0%","±0.2","13,531","±1,406","5.4%","±0.6","129,258","±5,883","5.4%","±0.2","50,353","±3,392","4.4%","±0.3","759,288","±12,924","6.0%","±0.1","92,296","±4,513","4.6%","±0.2","63,217","±4,050","4.7%","±0.3","16,261","±2,125","4.8%","±0.6","9,378","±1,356","3.5%","±0.5","323,901","±11,076","4.5%","±0.2","166,418","±6,414","4.7%","±0.2","23,569","±1,902","5.3%","±0.4","24,334","±2,867","4.2%","±0.5","220,129","±7,498","4.6%","±0.2","114,772","±5,234","4.6%","±0.2","49,737","±3,111","4.1%","±0.3","50,269","±3,104","4.5%","±0.3","81,133","±4,201","4.8%","±0.2","90,302","±5,107","5.3%","±0.3","23,220","±2,166","4.2%","±0.4","106,455","±5,219","4.9%","±0.2","103,712","±5,187","4.1%","±0.2","167,036","±6,064","4.4%","±0.2","89,887","±4,279","4.3%","±0.2","56,977","±4,314","5.2%","±0.4","100,724","±4,774","4.3%","±0.2","19,373","±1,996","4.7%","±0.5","31,736","±2,352","4.3%","±0.3","65,513","±4,098","6.5%","±0.4","21,686","±2,027","4.2%","±0.4","154,115","±5,761","4.8%","±0.2","43,701","±3,372","5.7%","±0.4","369,635","±9,463","5.1%","±0.1","171,133","±6,761","4.6%","±0.2","12,009","±1,546","4.1%","±0.5","203,016","±7,204","4.5%","±0.2","73,544","±3,279","5.1%","±0.2","69,058","±3,536","4.6%","±0.2","215,049","±7,022","4.3%","±0.1","18,936","±2,204","4.6%","±0.5","86,504","±5,398","4.8%","±0.3","13,925","±1,428","4.3%","±0.4","110,534","±5,718","4.5%","±0.2","465,881","±12,670","5.2%","±0.1","38,021","±2,821","4.2%","±0.3","10,128","±1,243","3.9%","±0.5","127,036","±5,998","4.2%","±0.2","115,931","±5,578","4.4%","±0.2","31,782","±2,711","4.3%","±0.4","100,452","±4,336","4.4%","±0.2","10,279","±1,727","4.6%","±0.8","","","",""
"            With own children under 18 years","30,024","±2,586","1.6%","±0.1","7,327","±1,172","2.9%","±0.5","69,892","±5,167","2.9%","±0.2","25,000","±2,081","2.2%","±0.2","349,757","±8,576","2.8%","±0.1","48,798","±3,940","2.4%","±0.2","28,196","±2,841","2.1%","±0.2","8,565","±1,466","2.5%","±0.4","3,330","±885","1.2%","±0.3","149,747","±6,761","2.1%","±0.1","77,253","±4,725","2.2%","±0.1","7,711","±1,242","1.7%","±0.3","14,874","±2,509","2.6%","±0.4","101,111","±5,178","2.1%","±0.1","62,122","±4,137","2.5%","±0.2","30,338","±2,508","2.5%","±0.2","29,180","±2,373","2.6%","±0.2","40,330","±3,495","2.4%","±0.2","45,453","±3,628","2.6%","±0.2","13,092","±1,839","2.4%","±0.3","50,647","±4,089","2.3%","±0.2","42,986","±3,693","1.7%","±0.1","81,445","±4,813","2.1%","±0.1","48,580","±3,023","2.3%","±0.1","26,157","±2,770","2.4%","±0.2","53,215","±3,637","2.3%","±0.2","10,946","±1,504","2.7%","±0.4","19,200","±2,009","2.6%","±0.3","32,192","±2,753","3.2%","±0.3","11,691","±1,616","2.3%","±0.3","62,933","±4,333","2.0%","±0.1","23,437","±2,681","3.1%","±0.3","155,077","±6,697","2.1%","±0.1","87,595","±5,447","2.3%","±0.1","6,680","±1,261","2.3%","±0.4","104,437","±4,874","2.3%","±0.1","37,877","±2,416","2.6%","±0.2","37,948","±2,986","2.5%","±0.2","102,436","±4,545","2.1%","±0.1","8,135","±1,561","2.0%","±0.4","37,319","±3,563","2.1%","±0.2","7,887","±1,181","2.4%","±0.4","56,603","±3,948","2.3%","±0.2","221,045","±10,027","2.5%","±0.1","20,318","±2,087","2.3%","±0.2","5,637","±1,050","2.2%","±0.4","62,498","±4,274","2.1%","±0.1","63,155","±4,290","2.4%","±0.2","14,568","±2,166","2.0%","±0.3","56,291","±3,530","2.5%","±0.2","6,601","±1,436","3.0%","±0.6","","","",""
"        Female householder, no husband present, family","277,568","±6,487","15.0%","±0.3","29,621","±2,492","11.8%","±1.0","308,545","±8,683","12.9%","±0.4","150,266","±4,975","13.1%","±0.4","1,722,400","±19,206","13.7%","±0.2","210,898","±6,909","10.6%","±0.3","178,276","±5,958","13.1%","±0.4","45,872","±3,046","13.5%","±0.9","40,966","±2,235","15.4%","±0.9","954,701","±12,466","13.3%","±0.2","546,422","±12,664","15.5%","±0.4","56,569","±3,471","12.6%","±0.8","59,349","±3,918","10.2%","±0.7","611,462","±11,412","12.8%","±0.2","304,294","±8,054","12.3%","±0.3","121,055","±3,812","9.9%","±0.3","113,495","±4,593","10.2%","±0.4","224,996","±5,901","13.2%","±0.3","290,551","±7,090","16.9%","±0.4","53,162","±3,223","9.6%","±0.6","312,529","±6,514","14.5%","±0.3","321,868","±6,732","12.8%","±0.3","493,661","±10,447","12.9%","±0.3","204,740","±6,976","9.7%","±0.3","209,611","±6,251","19.2%","±0.6","292,304","±7,077","12.4%","±0.3","34,693","±2,535","8.5%","±0.6","73,490","±3,354","10.0%","±0.4","140,008","±5,143","13.9%","±0.5","50,984","±3,403","9.8%","±0.7","431,509","±8,511","13.5%","±0.3","110,650","±4,589","14.5%","±0.6","1,070,310","±13,392","14.8%","±0.2","505,165","±10,591","13.5%","±0.3","23,464","±2,104","8.1%","±0.7","578,871","±10,878","12.7%","±0.2","181,258","±4,755","12.5%","±0.3","166,453","±6,427","11.0%","±0.4","600,875","±9,856","12.1%","±0.2","58,029","±3,224","14.0%","±0.8","278,369","±7,452","15.6%","±0.4","33,176","±2,547","10.2%","±0.8","330,484","±8,871","13.3%","±0.4","1,280,711","±19,197","14.3%","±0.2","86,053","±3,860","9.6%","±0.4","24,231","±2,062","9.4%","±0.8","376,201","±9,037","12.4%","±0.3","270,032","±8,383","10.2%","±0.3","81,088","±4,084","10.9%","±0.5","234,247","±5,283","10.2%","±0.2","21,068","±1,844","9.4%","±0.9","","","",""
